State,Average_avg-Temp,Average-Min Temp,Average-max-temp,avg-precipitation,avg-windSpeed,pH,Clay,Sand,Silt,Crop Yield,Hectare
Lagos,27.1440626,23.44379183,30.84691676,123.3958333,2.22721874,5.8,27.33333333,53.33333333,17.83333333,0.012362074,0.005777795
Benue,27.14515615,21.61318231,32.67837513,134.875,1.59544271,5.983333333,21.33333333,58.5,19.5,1.10166258,1.097621464
Enugu,27.145896,22.67678646,31.61407825,153.125,1.4378125,5.716666667,26,69,15.16666667,0.709388681,0.545488917
Kebbi,27.14850016,20.55479688,33.74064056,76.1875,2.494395822,6.25,22,55,21.83333333,0.240604404,0.263373733
Ebonyi,27.15291151,22.69239581,31.61477578,163.7916667,1.381229159,5.75,30.33333333,60.66666667,14.5,0.349008541,0.297155424
Ebonyi,27.15291151,22.69239581,31.61477578,163.7916667,1.381229159,5.75,30.33333333,60.66666667,14.5,0.349008541,0.297155424
Enugu,27.16125011,22.71896879,31.60010413,158.5833334,1.3710052,5.966666667,25.5,60.33333333,16.5,0.709388681,0.545488917
Lagos,27.16168686,23.55793754,30.76470176,123.5416667,2.48016271,5.433333333,29,60.5,15.33333333,0.012362074,0.005777795
Anambra,27.16409894,22.71938539,31.61200531,128.5,1.381510409,6,28.33333333,43.5,24.66666667,0.433101138,0.282524924
Crossriver,27.1654584,22.87991675,31.44774457,170.8125,1.326062497,5.683333333,21.83333333,65,11.66666667,5.487014333,0.567674981
Imo,27.16784883,21.84874483,32.49819263,123.0625,1.656338535,6.133333333,14.33333333,59.16666667,17.66666667,1.408387875,0.669090712
Taraba,27.17057812,21.62631774,32.71509385,113.875,1.731244768,5.666666667,22.5,54,21.33333333,2.389935279,2.622656076
Taraba,27.17057812,21.62631774,32.71509385,113.875,1.731244768,5.666666667,22.5,54,21.33333333,2.389935279,2.622656076
Taraba,27.17057812,21.62631774,32.71509385,113.875,1.731244768,5.666666667,22.5,54,21.33333333,2.389935279,2.622656076
Taraba,27.17057812,21.62631774,32.71509385,113.875,1.731244768,5.666666667,22.5,54,21.33333333,2.389935279,2.622656076
Taraba,27.17057812,21.62631774,32.71509385,113.875,1.731244768,5.666666667,22.5,54,21.33333333,2.389935279,2.622656076
Taraba,27.17057812,21.62631774,32.71509385,113.875,1.731244768,5.666666667,22.5,54,21.33333333,2.389935279,2.622656076
Taraba,27.17057812,21.62631774,32.71509385,113.875,1.731244768,5.666666667,22.5,54,21.33333333,2.389935279,2.622656076
